Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,dec12
Seconds,60.6
Samples,10000
1,180000,0,0,0,0
2,104358,0,132,0,0
3,41741,1354,302,0,0
4,35481,355,113,0,0
5,34060,578,915,0,0
6,37028,1761,1523,0,0
7,40824,2725,2578,0,0
8,43884,5415,4145,0,0
9,55712,9559,8248,0,0
10,60744,10962,11025,0,0
11,70823,12913,15779,0,0
12,86756,17659,23707,0,0
13,97081,27630,26710,0,0
14,83210,25810,21129,0,0
15,60759,16443,13791,0,0
16,46658,8043,8789,0,0
17,42139,4003,6726,0,0
18,37829,2827,5964,0,0
19,34139,2190,4247,0,0
20,30928,1091,2675,0,0
21,28042,427,1423,0,0
22,26002,168,539,0,0
23,26119,102,145,0,0
24,24925,85,38,0,0
25,23477,88,8,0,0
26,23154,130,2,0,0
27,23437,151,0,0,0
28,24057,276,0,3,2
29,25025,485,0,100,21
30,25174,779,0,686,235
31,22819,1209,0,1720,881
32,17079,1217,0,2595,1552
33,10089,887,0,2443,1705
34,4550,428,0,1534,1153
35,1528,138,0,670,536
36,353,28,0,208,172
37,59,5,0,35,34
38,6,0,0,6,6
39,0,0,0,0,0

