Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec1
Seconds,116.1
Samples,100000
Solver Version,1
Analyzer Version,2
Extra Data Length,25
Max Solution Seconds,0
1,1000000,0,0,0,0,0,616
2,599900,0,0,0,0,0,144
3,317653,15568,0,0,0,0,117
4,286815,3640,0,0,0,0,60
5,285303,1633,0,0,0,0,55
6,269314,2003,0,0,0,0,41
7,277333,2226,267,0,0,0,36
8,306761,2830,131,0,0,0,26
9,291351,2881,820,0,0,0,22
10,291245,4284,3292,0,0,0,23
11,287527,4497,6093,0,0,0,13
12,257904,3394,2994,0,0,0,7
13,240079,4184,494,0,0,0,13
14,240155,4925,40,0,0,0,17
15,250519,5712,4,0,0,0,10
16,262238,7908,0,5356,7,0,16
17,235760,13092,0,22045,110,0,14
18,160027,12580,0,31972,263,0,11
19,77290,7288,0,25245,422,0,9
20,24677,2295,0,11808,320,0,9
21,4964,375,0,3069,145,0,9
22,618,35,0,464,26,0,7
23,51,2,0,37,2,0,7
24,4,0,0,4,2,0,8
25,0,0,0,0,0,0,7
26,0,0,0,0,0,0,0

