Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,jan15
Seconds,11.4
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,20
Max Solution Seconds,0
1,100000,0,0,0,0,0,186
2,61946,0,0,0,0,0,77
3,33399,1798,407,0,0,0,52
4,29747,487,39,0,0,0,45
5,27657,440,267,0,0,0,30
6,24197,124,519,0,0,0,35
7,23763,135,281,0,0,0,22
8,25360,130,61,0,0,0,25
9,27857,49,7,0,0,0,24
10,29560,210,5,0,0,0,18
11,30464,343,1,0,0,0,19
12,30865,436,7,0,0,0,20
13,31015,519,12,0,0,0,13
14,30152,697,7,0,0,0,17
15,28259,1008,5,497,0,0,14
16,24716,1467,0,1727,27,0,6
17,17829,1427,1,2927,100,0,11
18,9635,865,0,2689,189,0,10
19,3695,342,0,1519,210,0,8
20,989,88,0,506,86,0,11
21,168,10,0,123,26,0,0
22,18,1,0,10,5,0,0
23,2,0,0,2,0,0,0
24,0,0,0,0,0,0,0

