Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec14
Seconds,157.4
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,45
Max Solution Seconds,1
1,220000,0,0,0,0,1,221
2,138663,492,4250,0,0,1,217
3,70959,6555,3829,0,0,1,218
4,74891,11613,9581,0,0,1,209
5,85395,20428,12331,0,0,1,214
6,97656,17806,16394,0,0,1,211
7,118785,36939,19140,0,0,1,201
8,156712,60903,30074,0,0,1,204
9,171755,73271,32827,0,0,1,205
10,161766,65559,29658,0,0,1,197
11,152272,62916,27629,0,0,1,195
12,151621,60762,26030,0,0,1,189
13,162195,62471,26196,0,0,1,196
14,175085,65393,27677,0,0,1,203
15,176023,66142,32964,0,0,1,194
16,148215,55826,31641,0,0,1,187
17,108165,34065,23881,0,0,1,182
18,70819,16179,15542,0,0,1,179
19,51551,6550,9474,0,0,1,185
20,42863,3275,5816,0,0,1,181
21,37118,1776,3560,0,0,1,189
22,31071,883,2094,0,0,1,179
23,28157,459,1151,0,0,1,181
24,27265,212,628,0,0,1,173
25,26919,108,436,0,0,1,173
26,27199,109,364,0,0,1,167
27,27554,104,298,0,0,1,183
28,27002,100,314,0,0,1,188
29,26850,75,316,0,0,1,178
30,25919,91,289,0,0,1,178
31,25305,79,219,0,0,1,176
32,24340,103,114,0,0,1,157
33,24015,135,40,0,0,1,165
34,24225,187,10,0,0,1,154
35,24997,312,0,17,6,1,178
36,25794,549,1,236,114,1,171
37,25294,874,0,803,511,1,179
38,22273,1108,0,1755,1363,1,175
39,16917,1139,0,2214,1808,1,161
40,10794,892,0,2186,1902,1,170
41,5473,495,0,1573,1438,1,169
42,2118,186,0,831,769,1,163
43,604,53,0,297,290,1,166
44,129,10,0,72,72,1,169
45,25,2,0,13,12,1,158
46,3,0,0,3,3,0,0
47,0,0,0,0,0,0,0

