Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec1
Seconds,115.9
Samples,100000
Solver Version,1
Analyzer Version,2
Extra Data Length,20
Max Solution Seconds,0
1,1000000,0,0,0,0,0,681
2,599930,0,0,0,0,0,152
3,316846,15772,0,0,0,0,97
4,287713,3560,0,0,0,0,61
5,285483,1619,0,0,0,0,51
6,269772,2057,0,0,0,0,31
7,278320,2248,259,0,0,0,29
8,306819,2833,137,0,0,0,32
9,291566,2895,759,0,0,0,18
10,291610,4239,3209,0,0,0,15
11,288576,4449,6147,0,0,0,20
12,258539,3437,2903,0,0,0,14
13,240605,4164,444,0,0,0,9
14,240480,4982,49,0,0,0,17
15,250120,5736,3,0,0,0,13
16,262332,7936,2,5229,6,0,17
17,236525,12954,0,21810,77,0,10
18,160941,12688,0,32016,309,0,14
19,77459,7293,0,25493,415,0,6
20,25341,2404,0,11646,315,0,11
21,5217,398,0,3291,135,0,0
22,637,38,0,473,38,0,0
23,45,1,0,41,3,0,0
24,1,0,0,1,0,0,0
25,0,0,0,0,0,0,0

