Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,402
Seconds,44.9
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,40
Max Solution Seconds,1
1,90000,0,0,0,0,1,209
2,106765,0,464,0,0,1,177
3,48935,1554,576,0,0,1,149
4,42149,849,1362,0,0,0,125
5,42806,1052,968,0,0,0,126
6,43393,1895,2120,0,0,0,116
7,34963,1952,2018,0,0,0,107
8,31737,765,943,0,0,0,99
9,33756,529,966,0,0,0,101
10,30823,818,1116,0,0,0,89
11,32658,1542,1937,0,0,0,105
12,37917,1976,3195,0,0,0,85
13,37291,2059,3219,0,0,0,91
14,36961,2094,3539,0,0,0,86
15,36292,2265,3724,0,0,0,80
16,34657,2247,3400,0,0,0,82
17,32401,2260,2883,0,0,0,62
18,32978,2189,2767,0,0,0,59
19,32248,1989,2533,0,0,0,58
20,30977,1739,2332,0,0,0,58
21,29631,1332,2024,0,0,0,55
22,27049,1098,1580,0,0,0,57
23,25324,801,987,0,0,0,62
24,24001,446,468,0,0,0,60
25,23011,220,178,0,0,0,54
26,22637,137,51,0,0,0,52
27,22783,116,36,0,0,0,62
28,22939,133,32,0,0,0,59
29,23098,179,21,0,0,0,49
30,23210,250,15,26,4,0,46
31,22700,425,8,343,39,0,43
32,20537,550,5,1248,238,0,46
33,15884,728,0,2316,601,0,50
34,10316,605,0,2518,835,0,54
35,5390,408,0,1943,716,0,56
36,2194,142,0,1070,440,0,47
37,688,54,0,389,178,0,49
38,181,15,0,117,53,0,59
39,34,2,0,26,13,0,44
40,4,0,0,4,2,0,51
41,0,0,0,0,0,0,0

