Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,263
Seconds,799.9
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,2
1,120000,0,0,0,0,2,189
2,134055,0,318,0,0,2,159
3,48064,1492,657,0,0,2,160
4,51775,4913,1000,0,0,2,137
5,74882,13395,3363,0,0,2,138
6,98954,27011,7524,0,0,2,127
7,132614,45286,14221,0,0,2,134
8,160400,65078,19604,0,0,2,127
9,196709,86011,27854,0,0,2,112
10,245774,109730,40701,0,0,2,106
11,306135,141697,56438,0,0,2,110
12,375074,175428,72929,0,0,2,107
13,446191,210080,90820,0,0,2,79
14,555504,251977,119163,0,0,2,103
15,719378,332198,154646,0,0,2,102
16,895266,415872,196713,0,0,2,95
17,1025688,486685,227740,0,0,2,100
18,1091940,518533,253233,0,0,2,85
19,1075949,506921,255795,0,0,2,80
20,994848,451591,255253,0,0,2,89
21,904949,403232,242958,0,0,2,78
22,767541,339876,219383,0,0,2,85
23,557171,246291,169387,0,0,2,83
24,326291,140131,106846,0,0,2,84
25,156326,62019,51885,0,0,2,76
26,69652,19311,19156,0,0,2,70
27,40234,4029,5651,0,0,2,65
28,33320,1042,2854,0,0,2,61
29,31882,1055,2627,0,0,2,54
30,29822,1089,2286,0,0,2,51
31,28262,923,1772,0,0,2,76
32,27391,604,1262,0,0,2,76
33,25911,345,780,0,0,2,69
34,24351,194,502,0,0,2,77
35,22677,147,264,0,0,2,54
36,21750,160,132,0,0,2,48
37,20881,145,42,5,0,2,54
38,20759,211,26,71,15,2,51
39,20484,375,8,511,122,2,58
40,19048,514,2,1484,443,2,59
41,14961,552,1,2445,935,2,48
42,9463,467,0,2458,1078,2,58
43,4654,255,0,1824,910,2,57
44,1741,116,0,798,461,2,56
45,508,33,0,313,194,2,63
46,112,7,0,74,50,2,49
47,20,1,0,15,12,2,52
48,7,0,0,1,0,2,58
49,1,0,0,1,1,2,65
50,0,0,0,0,0,2,47
51,0,0,0,0,0,0,0

