Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,410
Seconds,51.9
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,40
Max Solution Seconds,1
1,90000,0,0,0,0,1,215
2,106379,0,207,0,0,1,167
3,47234,1597,445,0,0,1,134
4,40710,404,936,0,0,0,136
5,37962,306,240,0,0,0,134
6,40381,329,249,0,0,0,103
7,36596,406,778,0,0,0,110
8,34712,1268,1246,0,0,0,106
9,30908,1701,1409,0,0,0,106
10,32166,1901,1449,0,0,0,89
11,36624,2044,2199,0,0,0,90
12,38190,2981,3017,0,0,0,87
13,37793,4170,4334,0,0,0,87
14,40679,4800,4858,0,0,0,85
15,41056,4559,5978,0,0,0,86
16,39731,3648,5937,0,0,0,73
17,43598,3141,5566,0,0,0,76
18,49809,4031,7223,0,0,0,75
19,49754,4867,7932,0,0,0,64
20,45315,4823,7082,0,0,0,63
21,41946,4020,5919,0,0,0,59
22,41765,3713,5581,0,0,0,64
23,34960,3272,4791,0,0,0,67
24,28743,2258,3165,0,0,0,64
25,27141,1088,1559,0,0,0,82
26,26478,400,690,0,0,0,53
27,23043,177,353,0,0,0,51
28,21847,109,149,0,0,0,63
29,22131,89,71,0,0,0,45
30,22135,133,42,0,0,0,53
31,21843,198,36,12,1,0,46
32,21471,283,23,214,45,0,48
33,19749,431,13,990,225,0,48
34,15891,607,0,2292,514,0,56
35,10299,506,0,2908,841,0,49
36,5054,276,0,2181,835,0,52
37,1792,111,0,1022,479,0,45
38,473,35,0,293,167,0,44
39,107,7,0,69,47,0,45
40,25,2,0,13,7,0,45
41,6,0,0,6,4,0,0
42,0,0,0,0,0,0,0

