Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,289
Seconds,368.4
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,50
Max Solution Seconds,1
1,240000,0,0,0,0,1,198
2,131705,0,423,0,0,1,198
3,39894,1115,484,0,0,1,197
4,39190,1185,2058,0,0,1,199
5,49566,3129,3000,0,0,1,200
6,50385,3453,3895,0,0,1,197
7,56628,5662,5695,0,0,1,198
8,71684,10027,7806,0,0,1,197
9,86366,13188,10259,0,0,1,193
10,100261,19972,15123,0,0,1,197
11,135868,35035,24289,0,0,1,198
12,190975,52425,40058,0,0,1,193
13,244014,73350,60928,0,0,1,196
14,262696,78914,70940,0,0,1,194
15,245470,64977,64835,0,0,1,194
16,250477,58015,66475,0,0,1,186
17,255786,55421,63749,0,0,1,196
18,256600,54601,66596,0,0,1,195
19,268015,62955,72345,0,0,1,192
20,283398,64848,82866,0,0,1,192
21,290876,75724,86917,0,0,1,193
22,308075,68919,101047,0,0,1,190
23,297675,61911,104459,0,0,1,191
24,242925,62100,82514,0,0,1,186
25,170933,50214,55783,0,0,1,186
26,102319,27968,30064,0,0,1,194
27,60300,11500,12376,0,0,1,188
28,43449,4901,5764,0,0,1,186
29,35128,2146,3325,0,0,1,187
30,30855,971,2252,0,0,1,186
31,27408,566,1685,0,0,1,191
32,25375,369,1223,0,0,1,184
33,23939,250,807,0,0,1,187
34,23573,185,442,0,0,1,189
35,23620,168,235,0,0,1,178
36,23589,179,107,0,0,1,184
37,24037,235,36,0,0,1,184
38,24684,371,7,23,23,1,189
39,25021,594,3,304,265,1,184
40,24388,875,1,945,848,1,184
41,21227,1012,1,1821,1678,1,172
42,15720,988,0,2312,2194,1,178
43,9677,718,0,2074,1994,1,176
44,4918,412,0,1399,1357,1,188
45,2030,158,0,705,689,1,177
46,766,82,0,275,262,1,185
47,208,14,0,115,114,1,183
48,47,6,0,20,20,1,178
49,8,0,0,6,6,1,179
50,4,1,0,0,0,1,184
51,1,0,0,1,1,0,0
52,0,0,0,0,0,0,0

