Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,257
Seconds,220.8
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,45
Max Solution Seconds,1
1,240000,0,0,0,0,1,223
2,131598,0,400,0,0,1,218
3,39833,1189,1361,0,0,1,214
4,34285,910,1259,0,0,1,215
5,39129,1680,2632,0,0,1,214
6,41091,1361,2652,0,0,1,213
7,29857,929,1734,0,0,1,208
8,39317,1386,2132,0,0,1,213
9,39949,1004,2446,0,0,1,206
10,32999,1131,2707,0,0,1,206
11,36380,2008,2748,0,0,1,208
12,40189,3401,3675,0,0,1,203
13,48062,6047,5801,0,0,1,206
14,62095,11113,10434,0,0,1,202
15,87389,19312,16239,0,0,1,203
16,123791,35711,24030,0,0,1,205
17,158695,51299,34688,0,0,1,203
18,195365,73185,40927,0,0,1,202
19,211946,83197,43343,0,0,1,190
20,203053,74287,41272,0,0,1,198
21,180947,60833,36457,0,0,1,197
22,173727,46965,35989,0,0,1,192
23,165743,40894,35827,0,0,1,200
24,159983,33217,37712,0,0,1,193
25,140246,25285,39003,0,0,1,200
26,114931,23014,31327,0,0,1,194
27,96026,20003,26280,0,0,1,186
28,79510,16294,20227,0,0,1,194
29,65382,12920,14834,0,0,1,199
30,51977,9139,9548,0,0,1,178
31,41341,6176,6889,0,0,1,178
32,31363,3413,3911,0,0,1,179
33,26306,1487,1745,0,0,1,182
34,23232,574,616,0,0,1,177
35,22402,198,167,0,0,1,186
36,22536,140,28,0,0,1,176
37,23529,224,11,0,0,1,167
38,24692,445,3,159,132,1,187
39,24627,798,0,882,736,1,175
40,21653,1190,0,2003,1673,1,175
41,15418,1145,0,2683,2301,1,173
42,8556,746,0,2242,1968,1,176
43,3766,338,0,1253,1161,1,177
44,1333,125,0,544,523,1,167
45,376,33,0,174,167,1,161
46,96,8,0,46,44,0,0
47,17,1,0,13,13,0,0
48,1,0,0,1,1,0,0
49,0,0,0,0,0,0,0

