Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,296
Seconds,91.0
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,35
Max Solution Seconds,1
1,180000,0,0,0,0,1,280
2,103468,0,379,0,0,1,241
3,52675,2829,1174,0,0,1,227
4,68859,12742,2879,0,0,1,226
5,111234,35957,8802,0,0,1,205
6,162920,68772,22433,0,0,1,198
7,183452,90712,25010,0,0,1,211
8,173092,85007,23481,0,0,1,193
9,161545,76145,22375,0,0,1,180
10,159865,66598,25040,0,0,1,180
11,135651,50589,23043,0,0,0,168
12,114553,36771,22412,0,0,0,161
13,90661,25001,17225,0,0,0,159
14,85175,21651,16755,0,0,0,161
15,78484,20691,14554,0,0,0,145
16,61215,13222,9947,0,0,0,146
17,45977,8194,7178,0,0,0,151
18,34112,3973,4107,0,0,0,140
19,26539,1341,1530,0,0,0,153
20,23815,340,467,0,0,0,140
21,24216,141,253,0,0,0,141
22,26006,117,139,0,0,0,155
23,25999,63,59,0,0,0,133
24,25969,118,28,0,0,0,137
25,26447,207,3,0,0,0,120
26,26800,288,4,0,0,0,116
27,26992,470,3,67,13,0,118
28,26811,729,4,469,139,0,119
29,25140,1098,1,1234,425,0,126
30,20428,1209,1,2192,1015,0,133
31,13462,1046,0,2564,1451,0,121
32,6918,630,0,1997,1361,0,113
33,2486,217,0,1058,779,0,107
34,661,66,0,322,249,0,104
35,153,12,0,77,61,0,102
36,23,1,0,19,16,0,0
37,1,0,0,1,1,0,0
38,0,0,0,0,0,0,0

