Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,246
Seconds,148.3
Samples,1000
Solver Version,1
Analyzer Version,3
Extra Data Length,35
Max Solution Seconds,5
1,9000,0,0,0,0,5,21
2,10150,0,68,0,0,5,20
3,4695,190,83,0,0,5,20
4,4781,258,269,0,0,5,14
5,4829,321,304,0,0,5,16
6,4448,389,630,0,0,5,13
7,3636,333,540,0,0,5,14
8,2711,232,164,0,0,5,12
9,2805,199,101,0,0,5,13
10,2442,247,141,0,0,5,8
11,2347,236,149,0,0,2,8
12,2345,272,167,0,0,2,8
13,3627,471,203,0,0,2,9
14,4246,767,217,0,0,2,4
15,4489,985,250,0,0,2,7
16,5829,1303,330,0,0,2,5
17,7916,1859,442,0,0,2,7
18,11763,2818,686,0,0,2,3
19,18015,4968,1137,0,0,2,6
20,28529,8843,1888,0,0,2,4
21,46449,15562,3304,0,0,2,5
22,74948,27313,5206,0,0,2,4
23,117606,45182,8534,0,0,2,5
24,179766,72938,13229,1,0,2,5
25,262079,112498,22021,62,5,2,7
26,357156,162814,34305,233,40,2,3
27,441205,211123,54525,291,77,2,8
28,485723,245777,81619,237,76,2,3
29,454512,245237,93871,124,64,2,6
30,345726,197509,82363,43,20,2,7
31,210220,127122,53706,9,3,2,5
32,100356,63866,26145,0,0,2,3
33,37386,24615,9988,0,0,2,5
34,10978,7510,2887,0,0,2,6
35,2441,1770,606,0,0,2,1
36,341,274,64,0,0,0,0
37,20,17,3,0,0,0,0
38,0,0,0,0,0,0,0

