Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,412
Seconds,37.5
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,40
Max Solution Seconds,0
1,90000,0,0,0,0,0,177
2,103398,0,446,0,0,0,139
3,39826,1256,291,0,0,0,131
4,36690,677,1348,0,0,0,100
5,33680,926,1525,0,0,0,108
6,31310,356,928,0,0,0,93
7,26023,368,704,0,0,0,99
8,26756,411,877,0,0,0,90
9,29086,177,463,0,0,0,77
10,30069,279,886,0,0,0,78
11,32174,474,850,0,0,0,82
12,32499,978,1232,0,0,0,69
13,35232,1846,1725,0,0,0,72
14,34949,2072,2148,0,0,0,65
15,35387,1937,2375,0,0,0,58
16,35505,1637,2193,0,0,0,53
17,35486,1621,2465,0,0,0,57
18,30726,1179,2216,0,0,0,70
19,26501,584,1220,0,0,0,64
20,24365,289,787,0,0,0,50
21,23699,212,617,0,0,0,56
22,23637,119,307,0,0,0,54
23,23407,93,153,0,0,0,49
24,22569,85,44,0,0,0,58
25,22421,78,29,0,0,0,49
26,21964,99,20,0,0,0,44
27,21550,145,24,0,0,0,55
28,21057,301,17,258,6,0,35
29,19230,464,4,1186,53,0,33
30,15391,581,1,2187,260,0,51
31,10392,482,0,2543,584,0,48
32,5794,265,0,1942,697,0,34
33,2667,151,0,1123,553,0,35
34,1056,58,0,474,288,0,50
35,363,26,0,212,148,0,48
36,85,3,0,65,52,0,38
37,15,1,0,5,4,0,40
38,6,1,0,4,4,0,49
39,1,0,0,1,1,0,54
40,0,0,0,0,0,0,38
41,0,0,0,0,0,0,0

