Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,335
Seconds,309.6
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,197
2,146668,0,4646,0,0,1,187
3,69648,6416,4417,0,0,1,176
4,79812,15017,9281,0,0,1,168
5,89588,22269,14703,0,0,1,158
6,93626,14974,19893,0,0,1,146
7,91125,18753,11960,0,0,1,136
8,143263,36483,26258,0,0,1,154
9,180822,55453,46001,0,0,1,146
10,211381,60292,57579,0,0,1,138
11,221082,69069,48688,0,0,1,120
12,262739,94796,55493,0,0,1,136
13,329228,98336,115098,0,0,1,123
14,244499,86628,68579,0,0,1,127
15,155202,19266,44084,0,0,1,117
16,148386,20352,27608,0,0,1,124
17,313482,21387,133721,0,0,1,115
18,298344,83372,91503,0,0,1,123
19,206971,52092,38867,0,0,1,113
20,175524,27850,31364,0,0,1,99
21,142876,4004,51204,0,0,1,103
22,91208,2591,50271,0,0,1,113
23,43107,2265,5665,0,0,1,114
24,44459,2092,3871,0,0,1,100
25,41280,1846,4274,0,0,1,98
26,36684,1530,3553,0,0,1,100
27,33920,1253,2872,0,0,1,92
28,31555,1131,2103,0,0,1,91
29,30054,901,1674,0,0,1,87
30,28192,542,1211,0,0,1,91
31,27253,390,1006,0,0,1,90
32,26433,391,870,0,0,1,82
33,24894,350,623,0,0,1,92
34,23982,258,415,0,0,1,80
35,23120,190,213,0,0,1,80
36,23498,165,96,0,0,1,84
37,24213,216,48,0,0,1,83
38,24725,291,41,71,16,1,98
39,23516,462,45,502,140,1,86
40,20386,626,32,1271,490,1,88
41,15594,634,6,2019,1022,1,84
42,10513,535,0,2223,1226,1,93
43,6076,372,1,1893,1178,1,69
44,2850,186,0,1230,832,1,90
45,1067,73,0,529,376,1,80
46,331,23,0,193,143,1,83
47,80,5,0,58,49,1,87
48,13,1,0,9,7,1,92
49,2,0,0,2,2,1,71
50,0,0,0,0,0,1,77
51,0,0,0,0,0,0,0

