Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,227
Seconds,271.4
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,181
2,143531,0,3962,0,0,1,167
3,80964,8390,9031,0,0,1,148
4,102712,20470,18516,0,0,1,144
5,152791,37219,24520,0,0,1,125
6,242670,85083,55182,0,0,1,125
7,292850,124262,57176,0,0,1,118
8,279316,126132,59690,0,0,1,118
9,252387,113238,55423,0,0,1,127
10,247617,112407,47292,0,0,1,117
11,214692,98922,45719,0,0,1,107
12,163107,72080,36301,0,0,1,90
13,134400,55213,30939,0,0,1,106
14,118326,43718,22451,0,0,1,106
15,102969,29001,13376,0,0,1,104
16,126321,28357,16689,0,0,1,98
17,146487,37979,26578,0,0,1,87
18,142707,44183,29404,0,0,1,107
19,124511,40727,23120,0,0,1,88
20,106533,35694,19816,0,0,1,94
21,92201,30505,19028,0,0,1,86
22,74511,21557,15480,0,0,1,88
23,60041,12667,11255,0,0,1,83
24,58651,6792,8899,0,0,1,82
25,44891,3489,7000,0,0,1,75
26,38983,1441,4742,0,0,1,77
27,34969,677,3426,0,0,1,84
28,36037,606,2626,0,0,1,68
29,37685,845,2368,0,0,1,73
30,36268,1161,2244,0,0,1,81
31,32540,1232,1749,0,0,1,78
32,28326,872,1110,0,0,1,81
33,26814,386,658,0,0,1,70
34,26904,152,371,0,0,1,71
35,26518,80,168,0,0,1,71
36,25228,65,79,0,0,1,59
37,23919,68,56,0,0,1,65
38,23085,82,64,0,0,1,64
39,22256,125,32,14,1,1,72
40,21698,208,32,116,13,1,63
41,20613,326,20,462,78,1,73
42,18423,465,7,1060,279,1,58
43,15132,529,0,1864,640,1,70
44,10710,495,0,2368,1081,1,68
45,6140,305,0,2119,1128,1,67
46,2771,160,0,1228,723,1,69
47,973,57,0,564,395,1,62
48,246,10,0,164,125,1,69
49,50,6,0,32,25,1,56
50,10,0,0,8,5,1,54
51,1,0,0,1,1,0,0
52,0,0,0,0,0,0,0

