Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,413
Seconds,84.2
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,193
2,134140,0,47,0,0,1,179
3,43478,1242,563,0,0,1,164
4,35509,846,507,0,0,1,156
5,35023,1358,1023,0,0,1,147
6,39632,2089,2520,0,0,1,157
7,37994,2973,3365,0,0,1,141
8,37450,3409,4096,0,0,1,137
9,34475,3349,3416,0,0,1,134
10,37634,4001,4089,0,0,0,124
11,49441,4045,4219,0,0,0,128
12,43094,4359,4904,0,0,0,127
13,47762,5442,5276,0,0,0,131
14,48988,5715,5536,0,0,0,125
15,48932,4741,5479,0,0,0,111
16,45409,4026,5481,0,0,0,123
17,42881,3366,4552,0,0,0,123
18,38614,2762,3626,0,0,0,110
19,34463,2192,3001,0,0,0,112
20,33026,1654,2342,0,0,0,104
21,32006,1263,2094,0,0,0,111
22,33498,1172,1996,0,0,0,111
23,33719,1038,2086,0,0,0,109
24,31739,914,2074,0,0,0,106
25,30662,751,1832,0,0,0,105
26,30037,630,1637,0,0,0,109
27,30495,565,1545,0,0,0,105
28,31238,469,1465,0,0,0,106
29,31340,428,1486,0,0,0,106
30,30038,480,1366,0,0,0,108
31,28012,460,1133,0,0,0,95
32,25683,370,846,0,0,0,99
33,23725,286,506,0,0,0,95
34,22678,192,261,0,0,0,97
35,21917,156,145,0,0,0,91
36,21154,155,71,5,0,0,93
37,21130,212,28,72,6,0,74
38,20274,307,18,359,47,0,96
39,19035,439,6,881,206,0,85
40,16473,510,1,1524,585,0,88
41,12647,522,2,2053,1032,0,80
42,8533,420,1,1927,1213,0,81
43,5001,253,0,1455,1027,0,79
44,2518,124,0,967,774,0,88
45,1075,64,0,468,406,0,95
46,375,23,0,205,178,0,81
47,103,6,0,65,62,0,83
48,23,2,0,15,13,0,93
49,4,0,0,4,4,0,84
50,0,0,0,0,0,0,74
51,0,0,0,0,0,0,0

