Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,412
Seconds,3.8
Samples,1000
Solver Version,1
Analyzer Version,4
Extra Data Length,35
Max Solution Seconds,0
1,9000,0,0,0,0,0,28
2,10380,0,39,0,0,0,28
3,4086,110,16,0,0,0,24
4,3747,50,106,0,0,0,22
5,3410,108,159,0,0,0,23
6,3236,45,87,0,0,0,28
7,2683,44,70,0,0,0,24
8,2654,44,103,0,0,0,21
9,2914,18,38,0,0,0,20
10,2945,27,93,0,0,0,17
11,3300,48,87,0,0,0,21
12,3248,104,123,0,0,0,20
13,3594,176,164,0,0,0,20
14,3542,192,211,0,0,0,15
15,3648,205,248,0,0,0,19
16,3502,181,213,0,0,0,20
17,3623,157,245,0,0,0,16
18,2960,125,211,0,0,0,16
19,2598,64,113,0,0,0,19
20,2411,26,70,0,0,0,18
21,2304,19,61,0,0,0,15
22,2349,14,32,0,0,0,14
23,2276,9,13,0,0,0,16
24,2294,6,5,0,0,0,15
25,2265,2,2,0,0,0,12
26,2199,9,2,0,0,0,21
27,2164,15,1,0,0,0,18
28,2077,25,3,30,16,0,19
29,1907,37,0,142,79,0,14
30,1489,53,0,214,138,0,16
31,1011,43,0,237,162,0,16
32,578,35,0,179,109,0,13
33,267,16,0,129,90,0,14
34,87,3,0,51,37,0,10
35,21,0,0,15,11,0,11
36,4,0,0,2,1,0,0
37,1,0,0,1,0,0,0
38,0,0,0,0,0,0,0

