Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,dec1
Seconds,11.5
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,20
Max Solution Seconds,0
1,100000,0,0,0,0,0,243
2,59970,0,0,0,0,0,97
3,31625,1579,0,0,0,0,71
4,28772,365,0,0,0,0,55
5,28399,181,0,0,0,0,60
6,27071,199,0,0,0,0,35
7,27922,213,27,0,0,0,34
8,30455,309,23,0,0,0,31
9,29127,260,78,0,0,0,26
10,29020,428,352,0,0,0,26
11,28914,463,643,0,0,0,18
12,25851,392,281,0,0,0,15
13,24065,401,54,0,0,0,18
14,24112,459,3,0,0,0,25
15,25028,532,0,0,0,0,19
16,26157,801,0,510,9,0,14
17,23989,1410,0,2124,80,0,12
18,16347,1261,0,3229,240,0,16
19,7855,720,0,2568,264,0,13
20,2596,255,0,1172,167,0,13
21,561,48,0,339,66,0,0
22,70,4,0,54,13,0,0
23,4,0,0,4,2,0,0
24,0,0,0,0,0,0,0

