Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,250
Seconds,50.2
Samples,10000
Solver Version,1
Analyzer Version,1
Max Solution Seconds,1
1,180000,0,0,0,0
2,106757,0,26,0,0
3,47819,1659,937,0,0
4,40812,782,987,0,0
5,38505,733,1290,0,0
6,40889,930,3151,0,0
7,38067,1035,1950,0,0
8,42194,1008,2500,0,0
9,40633,1297,3721,0,0
10,37395,1211,1420,0,0
11,39036,1920,2366,0,0
12,42444,2848,4690,0,0
13,52942,4467,4186,0,0
14,53959,7152,5634,0,0
15,59828,9744,8154,0,0
16,56966,9751,9245,0,0
17,47944,6656,7037,0,0
18,44550,5002,5221,0,0
19,40487,4105,4746,0,0
20,38227,3022,3838,0,0
21,33832,2371,3464,0,0
22,30575,2100,2506,0,0
23,28100,1735,1482,0,0
24,24929,943,656,0,0
25,23663,360,197,0,0
26,23116,153,47,0,0
27,23254,99,8,0,0
28,24140,188,4,0,0
29,25368,288,1,57,14
30,25491,806,0,879,225
31,22042,1194,0,2238,930
32,15005,1138,0,2895,1481
33,7668,679,0,2249,1363
34,2960,269,0,1161,816
35,800,65,0,414,303
36,155,12,0,90,72
37,23,1,0,15,15
38,2,0,0,2,2
39,0,0,0,0,0

