Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,251
Seconds,88.1
Samples,10000
Solver Version,1
Analyzer Version,1
Max Solution Seconds,1
1,240000,0,0,0,0
2,135873,0,236,0,0
3,56337,1945,1561,0,0
4,58624,5931,4385,0,0
5,68890,11873,8359,0,0
6,57164,10245,7150,0,0
7,46426,4420,5092,0,0
8,38229,2691,3813,0,0
9,50012,2745,4257,0,0
10,48727,3095,5785,0,0
11,55398,5457,7912,0,0
12,61693,9000,9284,0,0
13,60993,11873,10987,0,0
14,57006,10883,9120,0,0
15,47541,7198,6644,0,0
16,40422,3736,4646,0,0
17,38125,1603,3107,0,0
18,31170,820,2329,0,0
19,30570,891,1987,0,0
20,32075,1008,1998,0,0
21,33707,1018,2130,0,0
22,29953,634,2013,0,0
23,27616,364,1853,0,0
24,25221,278,1298,0,0
25,23881,239,717,0,0
26,23848,223,364,0,0
27,23530,123,108,0,0
28,23263,106,31,0,0
29,23882,114,4,0,0
30,24721,179,1,0,0
31,25224,377,0,187,21
32,24825,791,0,803,241
33,22175,1050,0,1628,851
34,17389,1150,0,2187,1444
35,11086,907,0,2315,1820
36,5571,519,0,1678,1491
37,2056,193,0,842,764
38,580,54,0,274,260
39,119,9,0,74,68
40,16,1,0,10,10
41,5,1,0,1,1
42,1,0,0,1,1
43,0,0,0,0,0

