Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,107
Seconds,186.1
Samples,10000
1,240000,0,0,0,0
2,145589,385,3268,0,0
3,72148,7219,4229,0,0
4,78505,16913,7934,0,0
5,108858,20675,15511,0,0
6,123985,35218,18441,0,0
7,154145,52355,25526,0,0
8,186082,70795,30332,0,0
9,219415,91570,38774,0,0
10,243992,107529,48975,0,0
11,241065,112569,51830,0,0
12,188923,89144,42916,0,0
13,125151,51224,28147,0,0
14,76626,21452,14359,0,0
15,72637,9610,9964,0,0
16,79435,9196,11711,0,0
17,69809,8792,13428,0,0
18,54999,7497,12438,0,0
19,51946,5298,9093,0,0
20,43291,2854,5356,0,0
21,30587,1258,3968,0,0
22,26670,833,3293,0,0
23,23655,679,2850,0,0
24,21237,748,2454,0,0
25,21528,685,2341,0,0
26,24897,650,2482,0,0
27,33820,763,2432,0,0
28,32732,806,2203,0,0
29,28713,587,1458,0,0
30,26246,328,815,0,0
31,27291,152,463,0,0
32,27592,56,162,0,0
33,26018,28,44,0,0
34,25951,43,5,0,0
35,26553,68,0,0,0
36,26711,106,0,0,0
37,26841,152,0,0,0
38,27174,250,3,17,0
39,27253,420,3,113,8
40,26893,602,3,338,88
41,25593,858,1,762,274
42,22305,1098,0,1517,792
43,17217,1087,0,2104,1284
44,11422,873,0,1975,1426
45,6640,618,0,1557,1249
46,2964,262,0,1007,861
47,1060,98,0,414,387
48,317,28,0,148,144
49,67,6,0,41,40
50,7,0,0,7,7
51,0,0,0,0,0

