Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,246
Seconds,0.0
Samples,2
Max Solution Seconds,0.0
1,36,0,0,0,0
2,22,0,0,0,0
3,11,1,0,0,0
4,13,1,0,0,0
5,19,1,1,0,0
6,10,1,4,0,0
7,6,0,1,0,0
8,3,0,0,0,0
9,3,0,0,0,0
10,3,0,0,0,0
11,4,0,0,0,0
12,3,0,0,0,0
13,8,0,0,0,0
14,3,0,0,0,0
15,3,0,0,0,0
16,7,0,0,0,0
17,4,0,0,0,0
18,3,0,0,0,0
19,6,0,0,0,0
20,2,0,0,0,0
21,4,0,0,0,0
22,6,0,0,0,0
23,4,0,0,0,0
24,4,0,0,0,0
25,5,0,0,0,0
26,5,0,0,0,0
27,8,1,0,0,0
28,4,0,2,2,2
29,0,0,0,0,0

