Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,241
Seconds,75.2
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,181
2,133311,0,191,0,0,1,171
3,42155,1169,1274,0,0,1,154
4,37660,1355,1546,0,0,1,147
5,41237,2076,2083,0,0,1,140
6,40193,2289,3341,0,0,1,138
7,40807,1456,3115,0,0,1,125
8,34009,1741,2971,0,0,1,127
9,32673,1810,3058,0,0,1,129
10,35369,1727,3174,0,0,1,129
11,35411,2063,2562,0,0,0,123
12,34625,2145,2685,0,0,0,118
13,30704,1778,2666,0,0,0,123
14,30153,1019,2108,0,0,0,130
15,27341,566,1908,0,0,0,110
16,28886,602,1627,0,0,0,119
17,31273,708,1517,0,0,0,124
18,30622,696,1824,0,0,0,118
19,27213,610,1455,0,0,0,104
20,26788,274,912,0,0,0,113
21,29597,102,626,0,0,0,105
22,27583,51,504,0,0,0,85
23,26288,40,345,0,0,0,110
24,26104,37,269,0,0,0,104
25,25661,19,182,0,0,0,90
26,25305,51,97,0,0,0,104
27,26175,53,71,0,0,0,102
28,26210,56,40,0,0,0,91
29,26362,56,30,0,0,0,107
30,26076,73,14,0,0,0,101
31,26089,72,19,0,0,0,104
32,25725,91,14,0,0,0,99
33,25428,102,12,0,0,0,99
34,25589,99,7,0,0,0,93
35,25440,113,16,0,0,0,86
36,25269,164,17,0,0,0,107
37,24553,213,19,5,0,0,77
38,23826,308,16,98,4,0,92
39,22324,395,10,377,36,0,85
40,19915,499,4,1094,276,0,88
41,16238,554,2,1794,704,0,92
42,11870,532,0,1985,1016,0,84
43,7685,427,0,1845,1166,0,98
44,4291,243,0,1391,1037,0,91
45,2041,136,0,815,672,0,86
46,834,63,0,374,324,0,97
47,285,21,0,159,147,0,89
48,80,3,0,46,45,0,85
49,20,1,0,14,14,0,88
50,3,0,0,3,3,0,82
51,0,0,0,0,0,0,0

