Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,252
Seconds,77.3
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,35
Max Solution Seconds,1
1,180000,0,0,0,0,1,279
2,100045,0,358,0,0,1,253
3,35083,1166,140,0,0,1,242
4,31845,588,181,0,0,1,225
5,37964,1443,315,0,0,1,214
6,45330,3481,1054,0,0,1,203
7,44817,6608,1693,0,0,1,180
8,53268,9899,4489,0,0,0,186
9,71222,13380,10551,0,0,0,182
10,78670,14017,13079,0,0,0,167
11,76509,14395,13159,0,0,0,179
12,72150,14740,13501,0,0,0,177
13,72966,14769,13667,0,0,0,180
14,96995,21079,24467,0,0,0,155
15,123420,37747,33760,0,0,0,155
16,132133,36577,42842,0,0,0,147
17,134258,40887,42474,0,0,0,145
18,93510,27907,27689,0,0,0,144
19,46122,8688,9877,0,0,0,124
20,26941,1424,2389,0,0,0,126
21,22624,336,789,0,0,0,133
22,22770,323,569,0,0,0,141
23,24026,287,370,0,0,0,127
24,23645,209,131,0,0,0,143
25,23035,165,37,0,0,0,123
26,23491,218,7,0,0,0,120
27,24640,356,0,0,0,0,129
28,26064,632,0,217,81,0,139
29,25218,975,0,1147,453,0,125
30,20885,1393,0,2504,1193,0,116
31,12938,1127,0,3018,1700,0,114
32,5779,557,0,1999,1282,0,110
33,1897,178,0,813,582,0,113
34,412,31,0,260,199,0,108
35,57,3,0,37,28,0,118
36,5,0,0,5,4,0,0
37,0,0,0,0,0,0,0

