Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution,Color Completion Data,Depth Completion Data,Swallowed Game States
Level,107
Num Vials,14
Num colors,12
Seconds,178.2
Samples,10000
Solver Version,4
Analyzer Version,6
Extra Data Length,45
Modes,normal
Max Solution Seconds,0
1,120000,0,0,0,0,0,2,b;0;0;2;0;0;29;11;6;3;0;1;1,0;0;0;0;0;0;0;0;0;0;0;0,0
2,134688,0,2340,0,0,0,1,br;0;0;2;1;4;9;13;10;12;1;1;0,0;0;0;0;0;0;0;0;0;0;0;0,865
3,71340,5815,75,0,0,0,1,dg;0;2;0;4;44;0;0;1;0;2;0;0,0;0;0;0;0;0;0;0;0;0;0;0,4284
4,76874,16847,1670,0,0,0,1,g;42;6;0;1;0;2;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0;0,6521
5,105501,20871,5824,0,0,0,1,lb;0;0;0;0;0;9;15;16;6;7;0;0,0;0;0;0;0;0;0;0;0;0;0;0,10283
6,118239,34124,3890,0,0,0,2,m;0;0;0;0;1;1;4;9;17;6;15;0,0;0;0;0;0;0;0;0;0;0;0;0,14726
7,145289,49389,5129,0,0,0,1,o;0;1;0;0;3;0;3;5;10;9;20;2,0;0;0;0;0;0;0;0;0;0;0;0,18415
8,160993,62451,7768,0,0,0,1,p;0;0;0;0;0;0;3;0;0;21;9;20,0;0;0;0;0;0;0;0;0;0;0;0,17407
9,174317,68943,7228,0,0,0,1,pk;6;41;0;2;1;1;2;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0,23513
10,189752,79370,8785,0,0,0,1,pn;5;1;44;0;0;0;1;0;0;1;0;1,0;0;0;0;0;0;0;0;0;0;0;0,30171
11,175820,79496,12049,0,0,0,1,r;0;2;5;45;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0,25120
12,120287,52553,10585,0,0,0,2,y;0;0;0;0;0;2;1;5;4;5;7;29,0;0;0;0;0;0;0;0;0;0;0;0,15376
13,79530,25053,12383,0,0,0,1,,0;0;0;0;0;0;0;0;0;0;0;0,3418
14,53368,9450,6851,0,0,0,1,,0;0;0;0;0;0;0;0;0;0;0;0,1265
15,68270,7644,5404,0,0,0,1,,0;0;0;0;0;0;0;0;0;0;0;0,1949
16,72686,7572,8152,0,0,0,0,,32;0;0;0;0;0;0;0;0;0;0;0,2508
17,62912,7385,9183,0,0,0,1,,14;0;0;0;0;0;0;0;0;0;0;0,3253
18,49033,6415,7669,0,0,0,1,,2;46;0;0;0;0;0;0;0;0;0;0,2754
19,49104,4033,6305,0,0,0,1,,0;0;0;0;0;0;0;0;0;0;0;0,1181
20,39502,1779,3338,0,0,0,1,,0;0;0;0;0;0;0;0;0;0;0;0,676
21,28460,1061,3466,0,0,0,1,,1;0;0;0;0;0;0;0;0;0;0;0,535
22,26169,784,2824,0,0,0,1,,1;1;0;0;0;0;0;0;0;0;0;0,431
23,22446,672,2359,0,0,0,2,,1;0;0;0;0;0;0;0;0;0;0;0,447
24,20630,705,1959,0,0,0,0,,0;1;0;0;0;0;0;0;0;0;0;0,455
25,20463,676,1847,0,0,0,1,,2;1;44;0;0;0;0;0;0;0;0;0,405
26,23151,636,1872,0,0,0,1,,0;2;4;43;0;0;0;0;0;0;0;0,417
27,32735,673,1646,0,0,0,1,,0;2;2;1;0;0;0;0;0;0;0;0,392
28,30321,617,1553,0,0,0,0,,0;0;3;5;43;0;0;0;0;0;0;0,261
29,27449,418,1048,0,0,0,2,,0;0;0;1;1;0;0;0;0;0;0;0,166
30,24167,243,635,0,0,0,0,,0;0;0;2;4;43;0;0;0;0;0;0,98
31,25833,115,341,0,0,0,0,,0;0;0;1;1;1;37;0;0;0;0;0,23
32,26128,27,125,0,0,0,1,,0;0;0;0;3;1;2;23;0;0;0;0,5
33,24192,7,34,0,0,0,0,,0;0;0;0;0;2;6;7;9;0;0;0,0
34,23983,3,6,0,0,0,0,,0;0;0;0;1;0;1;15;9;0;0;0,0
35,24293,13,0,0,0,0,1,,0;0;0;0;0;6;0;0;26;7;0;0,1
36,23605,51,0,0,0,0,0,,0;0;0;0;0;0;5;0;0;36;0;0,32
37,22898,57,0,0,0,0,0,,0;0;0;0;0;0;1;5;0;0;43;0,32
38,22169,44,0,43,27,0,0,,0;0;0;0;0;0;0;2;4;1;0;43,0
39,112,7,0,0,0,0,0,,0;0;0;0;0;0;0;0;4;3;1;0,5
40,106,11,0,1,1,0,0,,0;0;0;0;0;0;1;0;0;5;3;1,5
41,60,8,0,3,3,0,1,,0;0;0;0;0;0;0;1;0;0;4;3,4
42,32,5,0,4,4,0,1,,0;0;0;0;0;0;0;0;1;0;1;4,1
43,12,2,0,1,1,0,1,,0;0;0;0;0;0;0;0;0;1;0;1,0
44,5,1,0,0,0,0,0,,0;0;0;0;0;0;0;0;0;0;1;0,1
45,4,1,0,1,1,0,1,,0;0;0;0;0;0;0;0;0;0;0;1,0
46,0,0,0,0,0,0,0,0,0,0

