Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,288
Seconds,43.7
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,40
Max Solution Seconds,1
1,180000,0,0,0,0,1,238
2,110188,0,180,0,0,1,211
3,57863,2016,1137,0,0,1,196
4,52158,1747,1975,0,0,1,191
5,42845,1439,1584,0,0,1,186
6,34852,638,1111,0,0,1,169
7,30228,783,1714,0,0,0,174
8,27682,567,1404,0,0,0,158
9,27444,596,1556,0,0,0,168
10,26845,948,2333,0,0,0,144
11,32761,1222,2097,0,0,0,128
12,26253,1115,1472,0,0,0,151
13,24953,832,1444,0,0,0,133
14,24084,403,1226,0,0,0,135
15,24933,171,764,0,0,0,137
16,26162,122,734,0,0,0,132
17,27623,252,999,0,0,0,127
18,30386,581,1064,0,0,0,121
19,30886,951,1597,0,0,0,129
20,29186,1045,1715,0,0,0,122
21,29154,784,1385,0,0,0,124
22,27885,841,1332,0,0,0,111
23,27708,808,1344,0,0,0,111
24,26325,536,937,0,0,0,105
25,24819,287,486,0,0,0,107
26,24174,205,153,0,0,0,109
27,23566,215,29,0,0,0,115
28,23907,260,4,0,0,0,111
29,24923,351,0,0,0,0,115
30,25767,657,0,323,41,0,132
31,24563,1156,0,1487,508,0,104
32,18851,1324,0,2871,1397,0,108
33,11067,926,0,2670,1513,0,85
34,4844,437,0,1682,1125,0,100
35,1656,153,0,690,508,0,104
36,407,33,0,223,174,0,115
37,75,3,0,45,37,0,97
38,15,2,0,7,6,0,98
39,2,0,0,2,1,0,111
40,0,0,0,0,0,0,98
41,0,0,0,0,0,0,0

