Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,246
Seconds,0.1
Samples,10
Solver Version,1
Analyzer Version,2
Extra Data Length,10
Max Solution Seconds,0
1,180,0,0,0,0,0,1
2,105,0,0,0,0,0,1
3,55,3,0,0,0,0,1
4,50,1,2,0,0,0,1
5,42,2,0,0,0,0,1
6,42,2,3,0,0,0,1
7,28,1,3,0,0,0,1
8,18,1,1,0,0,0,1
9,29,0,0,0,0,0,1
10,27,0,0,0,0,0,0
11,20,0,1,0,0,0,0
12,25,0,1,0,0,0,0
13,24,0,0,0,0,0,0
14,23,0,0,0,0,0,0
15,15,0,0,0,0,0,0
16,15,0,0,0,0,0,0
17,25,0,0,0,0,0,0
18,17,0,0,0,0,0,0
19,25,0,0,0,0,0,0
20,19,0,0,0,0,0,0
21,26,0,0,0,0,0,0
22,23,0,0,0,0,0,0
23,30,0,0,0,0,0,0
24,38,2,0,0,0,0,0
25,45,3,3,1,0,0,0
26,66,16,3,2,2,0,0
27,85,25,19,2,2,0,0
28,121,63,29,2,2,0,0
29,71,48,20,3,3,0,0
30,0,0,0,0,0,0,0

