Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,401
Seconds,241.2
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,200
2,137505,0,678,0,0,1,188
3,55513,1500,1164,0,0,1,187
4,49036,2009,2324,0,0,1,178
5,50419,3921,2846,0,0,1,182
6,47713,3809,3397,0,0,1,173
7,42071,1923,1998,0,0,1,160
8,41087,1516,2002,0,0,1,158
9,42855,1735,2353,0,0,1,161
10,52246,2745,3852,0,0,1,156
11,49434,4664,5785,0,0,1,153
12,54815,7229,8959,0,0,1,144
13,62818,10364,10342,0,0,1,140
14,66665,14467,10136,0,0,1,139
15,70147,14797,15297,0,0,1,135
16,70782,14249,14155,0,0,1,141
17,67336,12690,11693,0,0,1,129
18,61063,9790,9412,0,0,1,142
19,63169,8951,9577,0,0,1,124
20,72442,11590,12922,0,0,1,121
21,94099,16905,17587,0,0,1,140
22,124134,24327,26872,0,0,1,126
23,157858,38906,40403,0,0,1,126
24,210829,64945,57893,0,0,1,131
25,271297,97058,74641,0,0,1,107
26,291538,115757,80487,0,0,1,117
27,250654,104546,68107,0,0,1,107
28,189922,74247,49535,0,0,1,115
29,147629,47732,37026,0,0,1,93
30,131502,36261,33035,0,0,1,121
31,123717,34473,31945,0,0,1,102
32,112563,33646,29351,0,0,1,110
33,90159,27526,23064,0,0,1,107
34,63763,17791,15427,0,0,1,103
35,43294,9036,8370,0,0,1,96
36,30510,3598,3757,0,0,1,100
37,24050,1155,1438,0,0,1,91
38,21456,387,538,0,0,1,98
39,20379,131,182,0,0,1,97
40,20226,123,79,0,0,1,88
41,20511,147,45,6,4,1,86
42,20784,231,26,128,60,1,87
43,19702,506,14,1126,632,1,100
44,15822,652,5,2460,1427,1,91
45,10217,550,0,2731,1691,1,97
46,5242,337,0,2016,1306,1,93
47,2080,141,0,1048,700,1,80
48,612,40,0,371,263,1,85
49,140,9,0,92,68,1,78
50,23,1,0,21,14,1,82
51,1,0,0,1,0,0,0
52,0,0,0,0,0,0,0

