Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,242
Seconds,48.5
Samples,10000
1,180000,0,0,0,0
2,103206,0,354,0,0
3,47630,2310,1046,0,0
4,55557,6620,3890,0,0
5,75060,12374,7708,0,0
6,67455,14642,10795,0,0
7,60831,12256,11049,0,0
8,45239,5901,7436,0,0
9,33704,2593,4666,0,0
10,31454,1731,4390,0,0
11,30993,916,3328,0,0
12,28547,545,2365,0,0
13,23695,247,1592,0,0
14,24675,141,1254,0,0
15,26124,110,981,0,0
16,25477,23,619,0,0
17,24237,15,483,0,0
18,24678,41,289,0,0
19,23838,117,370,0,0
20,24680,212,425,0,0
21,25002,184,416,0,0
22,24880,153,362,0,0
23,24979,145,325,0,0
24,24075,137,296,0,0
25,24380,152,203,0,0
26,23951,106,80,0,0
27,24474,107,19,0,0
28,24999,167,3,0,0
29,25459,259,1,63,4
30,25780,451,1,262,32
31,24987,815,1,792,161
32,22102,1083,0,1609,563
33,17088,1131,0,2205,1038
34,10810,901,0,2243,1369
35,5497,508,0,1599,1103
36,2085,176,0,842,670
37,660,60,0,273,219
38,168,18,0,91,72
39,32,2,0,16,15
40,11,2,0,3,3
41,2,0,0,2,2
42,0,0,0,0,0

