Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,266
Seconds,47.1
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,40
Max Solution Seconds,1
1,180000,0,0,0,0,1,222
2,110159,0,0,0,0,1,198
3,53925,1771,28,0,0,1,171
4,44727,729,155,0,0,1,169
5,44289,570,293,0,0,0,165
6,46316,1334,1413,0,0,0,164
7,51049,3186,3256,0,0,0,154
8,43134,3437,2466,0,0,0,149
9,42838,3543,1286,0,0,0,145
10,48713,4387,3044,0,0,0,147
11,45022,5582,5321,0,0,0,131
12,43151,5951,6777,0,0,0,135
13,39715,4375,4976,0,0,0,113
14,39639,3793,5222,0,0,0,136
15,38169,3203,5135,0,0,0,129
16,36471,2365,3799,0,0,0,113
17,33279,1517,2898,0,0,0,116
18,30195,850,1593,0,0,0,121
19,29278,428,939,0,0,0,118
20,27850,212,411,0,0,0,116
21,28103,179,394,0,0,0,133
22,27064,221,369,0,0,0,110
23,26861,258,313,0,0,0,102
24,26875,254,243,0,0,0,109
25,26715,241,136,0,0,0,98
26,26848,193,41,0,0,0,98
27,27169,230,11,0,0,0,83
28,27623,334,6,0,0,0,106
29,28143,454,1,79,4,0,85
30,27262,837,4,502,61,0,93
31,24699,1175,0,1318,334,0,91
32,19442,1269,0,2290,871,0,101
33,12772,1026,0,2491,1295,0,100
34,6633,588,0,1802,1128,0,79
35,2804,264,0,987,707,0,88
36,864,69,0,393,318,0,92
37,236,24,0,104,83,0,94
38,38,0,0,32,30,0,82
39,2,0,0,2,2,0,83
40,0,0,0,0,0,0,94
41,0,0,0,0,0,0,0

