Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,284
Seconds,46.6
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,40
Max Solution Seconds,1
1,180000,0,0,0,0,1,225
2,108829,0,258,0,0,1,196
3,51220,1626,57,0,0,1,184
4,44692,809,732,0,0,1,174
5,49653,614,808,0,0,1,172
6,42427,341,172,0,0,1,156
7,39760,451,442,0,0,0,147
8,36928,790,590,0,0,0,155
9,34967,1348,1781,0,0,0,146
10,34573,1772,2119,0,0,0,144
11,34085,2339,2488,0,0,0,140
12,33265,1215,2231,0,0,0,145
13,29801,457,1669,0,0,0,152
14,29147,248,1183,0,0,0,127
15,27391,95,772,0,0,0,132
16,26830,72,638,0,0,0,134
17,26226,75,391,0,0,0,118
18,25100,51,302,0,0,0,118
19,25011,21,224,0,0,0,134
20,26174,32,195,0,0,0,117
21,26369,35,134,0,0,0,114
22,26003,49,91,0,0,0,110
23,26656,80,61,0,0,0,115
24,26850,110,45,0,0,0,109
25,27101,168,39,0,0,0,112
26,27661,183,19,0,0,0,105
27,27638,247,14,0,0,0,108
28,28001,318,6,0,0,0,105
29,28136,557,2,82,3,0,100
30,27383,850,0,505,84,0,121
31,24898,1168,0,1316,381,0,99
32,19618,1291,0,2243,950,0,95
33,13040,1034,1,2340,1262,0,107
34,7238,642,0,1781,1144,0,95
35,3234,291,0,1054,755,0,105
36,1170,98,0,477,372,0,104
37,314,26,0,158,132,0,106
38,61,3,0,36,31,0,96
39,17,2,0,5,5,0,99
40,3,0,0,3,3,0,101
41,0,0,0,0,0,0,0

