Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,290
Seconds,34.8
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,35
Max Solution Seconds,1
1,180000,0,0,0,0,1,231
2,103164,0,483,0,0,0,190
3,38788,1256,299,0,0,0,165
4,31570,310,1439,0,0,0,143
5,26900,484,1242,0,0,0,135
6,25930,379,1208,0,0,0,121
7,32713,168,1305,0,0,0,131
8,22719,166,1247,0,0,0,111
9,22341,208,685,0,0,0,114
10,22687,200,465,0,0,0,104
11,22878,126,314,0,0,0,115
12,24693,73,346,0,0,0,106
13,24822,63,298,0,0,0,105
14,23489,88,248,0,0,0,101
15,22960,53,186,0,0,0,104
16,23327,30,129,0,0,0,109
17,23811,54,169,0,0,0,77
18,24257,83,135,0,0,0,97
19,24816,94,111,0,0,0,79
20,24997,98,64,0,0,0,76
21,25160,126,51,0,0,0,82
22,25039,141,16,0,0,0,84
23,25489,151,5,0,0,0,84
24,25752,247,2,0,0,0,83
25,26395,348,4,0,0,0,78
26,26711,529,0,41,0,0,77
27,26548,937,0,386,7,0,77
28,24913,1299,0,1263,151,0,86
29,19970,1369,0,2284,534,0,65
30,13386,1123,0,2472,919,0,68
31,7160,658,0,1888,893,0,68
32,3123,290,0,1034,601,0,61
33,1102,105,0,451,293,0,66
34,259,17,0,147,110,0,73
35,58,6,0,26,18,0,67
36,11,1,0,7,6,0,0
37,1,0,0,1,1,0,0
38,0,0,0,0,0,0,0

