Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,405
Seconds,209.8
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,183
2,131729,0,1596,0,0,1,159
3,42924,1165,2093,0,0,1,158
4,39970,2020,3176,0,0,1,135
5,44931,4288,4364,0,0,1,129
6,53864,7432,5932,0,0,1,122
7,91503,10820,17945,0,0,1,127
8,88476,14882,18805,0,0,1,114
9,99355,23376,20494,0,0,1,119
10,147388,47956,32724,0,0,1,122
11,156579,52056,35135,0,0,1,106
12,181661,55233,42382,0,0,1,103
13,168001,49196,45193,0,0,1,102
14,179804,58797,50554,0,0,1,98
15,192141,77763,46004,0,0,1,95
16,139774,55626,31335,0,0,1,100
17,117388,38542,29617,0,0,1,100
18,90014,26592,15840,0,0,1,79
19,86123,22208,13185,0,0,1,93
20,93889,24445,17723,0,0,1,93
21,93091,22359,19925,0,0,1,92
22,93344,14704,16162,0,0,1,79
23,85872,12133,21630,0,0,1,91
24,69324,9731,18599,0,0,1,79
25,56738,7036,11142,0,0,1,86
26,46258,4787,7909,0,0,1,90
27,40347,3108,5766,0,0,1,93
28,34381,1918,4357,0,0,1,85
29,32617,1238,3349,0,0,1,88
30,31279,816,2603,0,0,1,78
31,31609,640,2315,0,0,1,74
32,30431,534,2109,0,0,1,63
33,28603,428,1854,0,0,1,74
34,26147,350,1347,0,0,1,65
35,23742,268,771,0,0,1,79
36,22870,222,525,0,0,1,78
37,21702,240,326,0,0,1,72
38,20344,159,168,0,0,1,74
39,20236,166,89,0,0,1,71
40,20769,197,32,31,1,1,58
41,21054,268,14,226,39,1,69
42,19976,465,8,901,229,1,84
43,16776,599,1,1920,659,1,64
44,11767,639,1,2542,1077,1,67
45,6809,461,1,2134,1110,1,76
46,3159,242,0,1405,861,1,59
47,1095,90,0,602,411,1,62
48,296,23,0,182,142,1,69
49,61,3,0,53,41,1,64
50,4,0,0,4,4,1,54
51,0,0,0,0,0,0,0

