Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,251
Seconds,0.9
Samples,100
Solver Version,1
Analyzer Version,2
Max Solution Seconds,0
1,2400,0,0,0,0,0,35
2,1368,0,3,0,0,0,34
3,577,18,5,0,0,0,30
4,527,36,26,0,0,0,0
5,598,85,61,0,0,0,0
6,514,78,49,0,0,0,0
7,436,37,44,0,0,0,0
8,414,50,42,0,0,0,0
9,545,42,44,0,0,0,0
10,525,62,68,0,0,0,0
11,746,111,104,0,0,0,0
12,832,169,159,0,0,0,0
13,826,205,160,0,0,0,0
14,806,198,149,0,0,0,0
15,618,143,115,0,0,0,0
16,485,79,67,0,0,0,0
17,405,37,48,0,0,0,0
18,321,18,31,0,0,0,0
19,295,12,17,0,0,0,0
20,344,8,15,0,0,0,0
21,373,10,30,0,0,0,0
22,309,8,28,0,0,0,0
23,251,8,20,0,0,0,0
24,245,3,8,0,0,0,0
25,242,2,8,0,0,0,0
26,234,0,2,0,0,0,0
27,222,2,2,0,0,0,0
28,235,0,0,0,0,0,0
29,241,2,0,0,0,0,0
30,243,2,0,0,0,0,0
31,265,8,0,0,0,0,0
32,250,10,0,8,8,0,0
33,221,10,0,16,15,0,0
34,174,14,0,23,23,0,0
35,112,9,0,20,20,0,0
36,68,8,0,17,17,0,0
37,32,5,0,10,10,0,0
38,6,0,0,6,6,0,0
39,0,0,0,0,0,0,0

