Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,258
Seconds,358.0
Samples,100000
Solver Version,1
Analyzer Version,3
Extra Data Length,35
Max Solution Seconds,1
1,900000,0,0,0,0,1,908
2,1022415,0,5992,0,0,1,460
3,396394,13832,14969,0,0,1,332
4,332026,5353,11977,0,0,1,278
5,300811,4704,10410,0,0,1,215
6,310955,8697,22819,0,0,1,208
7,373635,14904,33729,0,0,1,170
8,352209,15091,28955,0,0,1,172
9,298203,15732,32681,0,0,1,150
10,278434,10430,31434,0,0,1,136
11,261629,5562,19434,0,0,1,145
12,282802,5958,20343,0,0,1,123
13,237871,4753,15012,0,0,1,122
14,235432,2368,12813,0,0,1,113
15,246205,1874,10085,0,0,1,114
16,218599,4104,8591,0,0,1,92
17,213691,6864,10113,0,0,1,121
18,245749,6135,13006,0,0,1,104
19,256922,3557,12967,0,0,1,107
20,246762,2301,11169,0,0,0,109
21,227965,1334,6508,0,0,0,91
22,217924,737,2801,0,0,0,89
23,207400,675,997,0,0,0,77
24,209602,1017,529,0,0,0,90
25,214707,1344,535,0,0,0,78
26,219918,1742,524,0,0,0,73
27,219830,2657,332,1243,2,0,68
28,207556,4360,176,8815,21,0,77
29,171463,6455,48,22618,337,0,81
30,114374,5797,8,27908,962,0,65
31,60282,3539,2,21803,1512,0,71
32,24382,1490,0,11790,1365,0,58
33,7470,395,0,4433,723,0,63
34,1639,65,0,1164,284,0,58
35,277,9,0,187,57,0,59
36,44,4,0,34,13,0,0
37,5,0,0,5,1,0,0
38,0,0,0,0,0,0,0

