Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,293
Seconds,253.7
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,50
Max Solution Seconds,1
1,240000,0,0,0,0,1,196
2,141958,457,3741,0,0,1,190
3,67295,7301,5766,0,0,1,187
4,83244,15114,12503,0,0,1,177
5,109815,31710,15571,0,0,1,172
6,146974,49069,23388,0,0,1,174
7,195767,75332,32600,0,0,1,173
8,234838,99903,35134,0,0,1,173
9,268854,108804,47143,0,0,1,171
10,298876,121614,53573,0,0,1,167
11,283962,118891,53488,0,0,1,161
12,241738,99158,48435,0,0,1,155
13,215415,79765,46946,0,0,1,154
14,206284,65648,49888,0,0,1,153
15,172832,50991,42134,0,0,1,149
16,134386,35077,33528,0,0,1,151
17,101669,23254,27445,0,0,1,142
18,76590,13405,20995,0,0,1,151
19,55280,6215,14090,0,0,1,145
20,41055,2141,9136,0,0,1,141
21,38136,1568,5048,0,0,1,142
22,40492,1286,3209,0,0,1,139
23,39235,1311,2852,0,0,1,150
24,35058,1536,2840,0,0,1,138
25,33952,1500,2505,0,0,1,143
26,32921,1003,2031,0,0,1,147
27,31089,452,1667,0,0,1,143
28,29260,239,1494,0,0,1,126
29,29745,184,1349,0,0,1,132
30,30832,234,1337,0,0,1,135
31,30532,270,1406,0,0,1,124
32,29502,316,1354,0,0,1,132
33,28039,247,1042,0,0,1,132
34,25408,182,701,0,0,1,129
35,24376,163,307,0,0,1,133
36,24159,117,98,0,0,1,133
37,24740,145,29,0,0,1,126
38,25179,212,9,17,5,1,124
39,25579,387,1,236,89,1,126
40,24974,677,0,749,362,1,115
41,22374,950,0,1567,956,1,108
42,17477,997,0,2189,1475,1,123
43,11363,839,0,2191,1623,1,125
44,6268,538,0,1576,1296,1,110
45,2715,226,0,905,795,1,121
46,1016,97,0,389,355,1,112
47,286,24,0,142,130,1,110
48,48,1,0,34,33,1,129
49,8,1,0,4,4,1,112
50,1,0,0,1,1,1,123
51,0,0,0,0,0,0,0

