Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,337
Seconds,570.6
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,45
Max Solution Seconds,1
1,120000,0,0,0,0,1,214
2,176213,395,9799,0,0,1,191
3,235170,62271,48055,0,0,1,173
4,357529,133044,76758,0,0,1,155
5,483454,211403,107293,0,0,1,148
6,648172,337041,129294,0,0,1,138
7,804011,449205,150460,0,0,1,135
8,801109,444745,151581,0,0,1,115
9,682582,342789,142886,0,0,1,131
10,624638,290949,133043,0,0,1,125
11,600272,260906,139666,0,0,1,112
12,596806,257428,152215,0,0,1,98
13,588896,263239,142446,0,0,1,117
14,523576,248434,133513,0,0,1,116
15,398712,199393,100839,0,0,1,108
16,276885,142360,57053,0,0,1,94
17,177203,90589,30144,0,0,1,109
18,112442,52694,19057,0,0,1,97
19,66585,22249,11567,0,0,1,101
20,40610,5978,6323,0,0,1,81
21,42132,1556,4134,0,0,1,84
22,38147,1465,3796,0,0,1,81
23,36358,1687,3663,0,0,1,91
24,36679,1280,3330,0,0,1,85
25,33536,978,2701,0,0,1,81
26,33730,922,2367,0,0,1,85
27,29396,712,2003,0,0,1,75
28,27499,523,1562,0,0,1,74
29,26713,380,1248,0,0,1,76
30,25758,362,1053,0,0,1,87
31,23713,202,659,0,0,1,80
32,21991,118,285,0,0,1,68
33,20038,76,99,0,0,1,79
34,19883,106,51,0,0,1,73
35,20803,169,18,0,0,1,67
36,20594,260,10,651,83,1,73
37,18287,344,0,1712,356,1,64
38,13766,388,0,2478,864,1,74
39,8267,381,1,2440,1266,1,63
40,3856,155,0,1716,1043,1,76
41,1332,63,0,699,526,1,55
42,351,11,0,257,208,1,62
43,53,2,0,41,29,1,41
44,8,1,0,4,3,1,58
45,2,0,0,2,1,1,69
46,0,0,0,0,0,0,0

