Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,421
Seconds,291.0
Samples,10000
Solver Version,1
Analyzer Version,3
Extra Data Length,50
Max Solution Seconds,1
1,120000,0,0,0,0,1,190
2,137544,0,0,0,0,1,184
3,50296,1218,45,0,0,1,188
4,42070,967,375,0,0,1,172
5,47124,2861,826,0,0,1,164
6,53300,5253,1342,0,0,1,155
7,61540,7656,3186,0,0,1,150
8,68265,10779,4329,0,0,1,158
9,70487,13691,7004,0,0,1,150
10,82434,17255,8729,0,0,1,156
11,95391,22000,11187,0,0,1,134
12,112743,29165,16439,0,0,1,135
13,126956,36142,21687,0,0,1,147
14,142891,40169,27202,0,0,1,141
15,150857,40449,29324,0,0,1,129
16,167408,45855,35059,0,0,1,134
17,200802,57902,43434,0,0,1,129
18,239998,76250,51487,0,0,1,125
19,290341,96575,62563,0,0,1,123
20,337904,120957,74883,0,0,1,135
21,351470,133190,80011,0,0,1,115
22,320955,126447,74420,0,0,1,119
23,257487,102059,62255,0,0,1,126
24,187558,72961,45927,0,0,1,113
25,133902,49883,32635,0,0,1,114
26,96862,32667,22137,0,0,1,112
27,72993,18916,14059,0,0,1,112
28,53788,9097,8318,0,0,1,121
29,42793,4186,5269,0,0,1,111
30,35500,2162,3499,0,0,1,112
31,31463,1376,2532,0,0,1,110
32,28183,962,1723,0,0,1,101
33,26226,561,1078,0,0,1,106
34,25088,364,641,0,0,1,98
35,24508,253,437,0,0,1,97
36,23889,128,240,0,0,1,109
37,23386,110,178,0,0,1,109
38,22573,93,119,0,0,1,109
39,22355,105,89,18,3,1,106
40,21945,172,49,174,64,1,97
41,21187,281,29,603,245,1,107
42,18758,407,14,1525,767,1,97
43,14662,418,3,2080,1170,1,86
44,9961,358,3,2139,1321,1,104
45,5557,248,0,1808,1278,1,96
46,2540,98,0,1009,784,1,110
47,896,39,0,453,378,1,91
48,241,9,0,155,141,1,98
49,43,3,0,29,25,1,93
50,9,0,0,5,5,1,105
51,2,0,0,2,2,0,0
52,0,0,0,0,0,0,0

