Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,246
Seconds,0.2
Samples,10
Solver Version,1
Analyzer Version,2
Extra Data Length,10
Max Solution Seconds,0
1,180,0,0,0,0,0,1
2,100,0,1,0,0,0,1
3,33,2,0,0,0,0,1
4,46,2,2,0,0,0,1
5,41,2,0,0,0,0,1
6,38,4,3,0,0,0,1
7,30,2,7,0,0,0,1
8,22,0,1,0,0,0,1
9,22,0,0,0,0,0,1
10,18,0,0,0,0,0,1
11,17,0,0,0,0,0,0
12,16,0,0,0,0,0,0
13,18,0,0,0,0,0,0
14,14,0,0,0,0,0,0
15,21,0,0,0,0,0,0
16,19,0,0,0,0,0,0
17,22,0,0,0,0,0,0
18,21,0,0,0,0,0,0
19,26,0,0,0,0,0,0
20,24,1,0,0,0,0,0
21,28,0,0,0,0,0,0
22,42,1,0,0,0,0,0
23,60,5,1,0,0,0,0
24,98,19,0,0,0,0,0
25,172,39,9,0,0,0,0
26,315,116,22,1,1,0,0
27,518,232,102,3,3,0,0
28,674,369,173,3,3,0,0
29,516,330,145,2,2,0,0
30,168,120,45,0,0,0,0
31,1,0,0,1,1,0,0
32,0,0,0,0,0,0,0

