Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,240
Seconds,49.2
Samples,10000
1,180000,0,0,0,0
2,102185,0,457,0,0
3,37385,1260,486,0,0
4,33653,538,312,0,0
5,34821,495,195,0,0
6,31288,319,656,0,0
7,32445,519,1308,0,0
8,27634,383,640,0,0
9,28733,980,1060,0,0
10,32415,1732,2240,0,0
11,44034,2604,4721,0,0
12,48669,3423,6107,0,0
13,45199,3975,5310,0,0
14,41441,4337,4236,0,0
15,36026,3553,3659,0,0
16,35782,2857,3181,0,0
17,39090,2563,3593,0,0
18,38643,2105,3659,0,0
19,37092,1839,3593,0,0
20,38277,1552,3928,0,0
21,36720,1504,3978,0,0
22,35880,1545,3965,0,0
23,34005,1269,2999,0,0
24,30805,852,1779,0,0
25,28467,463,797,0,0
26,26061,298,245,0,0
27,24260,158,43,0,0
28,22994,131,8,0,0
29,23086,126,0,0,0
30,24361,178,0,0,0
31,25985,404,0,80,16
32,26191,814,0,815,268
33,22896,1110,0,1838,782
34,17094,1130,0,2441,1220
35,10476,848,0,2261,1356
36,4897,431,0,1581,1011
37,1678,136,0,702,503
38,428,37,0,225,183
39,89,8,0,45,40
40,21,3,0,9,9
41,3,0,0,3,3
42,0,0,0,0,0

