Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution
Level,227
Seconds,270.9
Samples,10000
Solver Version,1
Analyzer Version,2
Extra Data Length,50
Max Solution Seconds,1
1,240000,0,0,0,0,1,196
2,144509,443,4131,0,0,1,196
3,81797,8896,9440,0,0,1,190
4,103073,20712,18569,0,0,1,194
5,151017,36026,24341,0,0,1,192
6,240678,84350,55282,0,0,1,187
7,290945,123186,57138,0,0,1,177
8,277155,125032,58817,0,0,1,182
9,250045,111299,54974,0,0,1,180
10,244724,109997,46560,0,0,1,177
11,212956,97942,45197,0,0,1,180
12,163182,72104,36170,0,0,1,174
13,135609,55359,30972,0,0,1,173
14,121171,44418,22871,0,0,1,163
15,107770,29940,14082,0,0,1,171
16,131483,29590,17398,0,0,1,171
17,152853,39758,28008,0,0,1,176
18,149069,46632,31031,0,0,1,168
19,130633,43541,24688,0,0,1,162
20,112200,38461,21196,0,0,1,154
21,96264,32931,20221,0,0,1,157
22,76773,22997,16198,0,0,1,155
23,61301,13281,11511,0,0,1,164
24,59537,7046,8971,0,0,1,163
25,45718,3694,7249,0,0,1,158
26,40140,1567,5008,0,0,1,162
27,35818,893,3551,0,0,1,161
28,37327,853,2894,0,0,1,161
29,39994,1250,2818,0,0,1,168
30,39056,1571,2963,0,0,1,149
31,36008,1862,2675,0,0,1,145
32,31254,1566,1836,0,0,1,151
33,29425,874,1113,0,0,1,158
34,28888,310,603,0,0,1,152
35,28531,104,260,0,0,1,153
36,27360,71,102,0,0,1,154
37,26430,95,61,0,0,1,146
38,26004,159,50,0,0,1,149
39,25752,205,27,17,5,1,153
40,25924,347,6,101,52,1,153
41,25632,574,3,348,207,1,140
42,24381,908,2,929,615,1,153
43,21104,1090,0,1727,1304,1,151
44,15883,1073,0,2266,1828,1,134
45,9567,786,0,2218,1927,1,149
46,4518,407,0,1445,1320,1,141
47,1603,145,0,663,612,1,146
48,457,44,0,219,205,1,150
49,102,10,0,55,54,1,150
50,13,0,0,11,11,1,152
51,4,1,0,0,0,0,0
52,1,0,0,1,1,0,0
53,0,0,0,0,0,0,0

