Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,246
Seconds,0.5
Samples,10
1,180,0,0,0,0
2,101,0,1,0,0
3,44,1,4,0,0
4,69,5,5,0,0
5,56,6,6,0,0
6,50,5,12,0,0
7,32,2,8,0,0
8,21,0,0,0,0
9,24,0,0,0,0
10,10,0,0,0,0
11,16,0,0,0,0
12,15,0,0,0,0
13,30,0,0,0,0
14,27,0,0,0,0
15,19,0,0,0,0
16,15,0,0,0,0
17,20,0,0,0,0
18,22,0,0,0,0
19,32,1,0,0,0
20,31,1,0,0,0
21,45,5,1,0,0
22,66,10,1,0,0
23,115,28,3,0,0
24,207,58,6,0,0
25,383,126,15,0,0
26,689,273,37,2,2
27,1172,525,134,1,1
28,1757,906,320,5,5
29,2055,1195,469,1,1
30,1767,1141,398,1,1
31,1237,842,297,0,0
32,660,517,117,0,0
33,134,101,33,0,0
34,0,0,0,0,0

