Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions,Longest Solves (s),Unique Sol Distribution,Color Completion Data,Depth Completion Data
Level,422
Num Vials,11
Num colors,9
Seconds,0.5
Samples,100
Solver Version,1
Analyzer Version,5
Extra Data Length,35
Max Solution Seconds,0
1,900,0,0,0,0,0,3,b;38;25;14;8;3;3;1;4;4,0;0;0;0;0;0;0;0;0
2,1114,0,1,0,0,0,3,g;0;0;1;4;8;4;22;29;32,0;0;0;0;0;0;0;0;0
3,531,13,0,0,0,0,3,lb;11;14;15;21;11;11;5;5;7,0;0;0;0;0;0;0;0;0
4,410,6,0,0,0,0,3,m;40;13;5;7;20;12;2;1;0,1;0;0;0;0;0;0;0;0
5,440,7,4,0,0,0,2,o;5;12;19;16;11;22;10;1;4,0;0;0;0;0;0;0;0;0
6,453,16,13,0,0,0,3,p;0;6;10;5;20;26;12;11;10,1;0;0;0;0;0;0;0;0
7,486,26,35,0,0,0,3,pk;4;13;15;18;12;7;10;13;8,0;0;0;0;0;0;0;0;0
8,407,19,27,0,0,0,2,pn;0;5;11;10;9;11;24;19;11,5;0;0;0;0;0;0;0;0
9,484,39,42,0,0,0,3,r;2;12;10;11;6;4;14;17;24,6;0;0;0;0;0;0;0;0
10,429,33,48,0,0,0,3,,7;0;0;0;0;0;0;0;0
11,450,55,58,0,0,0,3,,12;0;0;0;0;0;0;0;0
12,569,102,70,0,0,0,3,,19;0;0;0;0;0;0;0;0
13,596,134,81,0,0,0,3,,14;3;0;0;0;0;0;0;0
14,504,121,75,0,0,0,3,,9;14;0;0;0;0;0;0;0
15,531,77,49,0,0,0,1,,5;7;1;0;0;0;0;0;0
16,398,38,34,0,0,0,3,,8;11;1;0;0;0;0;0;0
17,349,22,35,0,0,0,3,,7;12;9;0;0;0;0;0;0
18,346,23,34,0,0,0,3,,5;13;8;1;0;0;0;0;0
19,330,17,29,0,0,0,2,,1;15;13;3;0;0;0;0;0
20,306,16,28,0,0,0,3,,0;10;19;2;1;0;0;0;0
21,292,11,20,0,0,0,3,,0;11;17;11;1;0;0;0;0
22,233,8,14,0,0,0,2,,0;4;23;25;3;0;0;0;0
23,258,5,9,0,0,0,2,,0;0;8;27;5;0;0;0;0
24,252,0,2,0,0,0,3,,0;0;1;13;13;5;0;0;0
25,215,3,2,0,0,0,3,,0;0;0;11;20;13;3;0;0
26,200,0,3,0,0,0,3,,0;0;0;7;27;12;3;3;0
27,206,1,1,2,2,0,3,,0;0;0;0;22;25;8;2;2
28,195,3,1,3,3,0,3,,0;0;0;0;7;29;19;8;3
29,187,1,0,8,8,0,2,,0;0;0;0;1;13;34;11;8
30,165,1,0,11,10,0,1,,0;0;0;0;0;2;21;29;11
31,125,8,0,29,26,0,3,,0;0;0;0;0;1;10;28;29
32,67,3,0,28,26,0,3,,0;0;0;0;0;0;2;13;28
33,25,2,0,13,12,0,2,,0;0;0;0;0;0;0;4;13
34,8,1,0,4,4,0,3,,0;0;0;0;0;0;0;2;4
35,2,0,0,2,2,0,2,,0;0;0;0;0;0;0;0;2
36,0,0,0,0,0,0,0,0,0

